Model,City,Year,Mileage,FuelType,Transmission,Color,Assembly,EngineCapacity,Price
Cultus EURO II,Rawalpindi,2013,1 - 165000,Petrol,Manual,Unlisted,Local,1000,1010000 - 1849999
Cultus EURO II,Rawalpindi,2014,1 - 165000,Petrol,Manual,White,Local,1000,1010000 - 1849999
Cultus EURO II,Rawalpindi,2016,1 - 165000,Petrol,Manual,Graphite Grey,Local,1000,1010000 - 1849999
Cultus VXL,Karachi,2017,1 - 165000,Petrol,Manual,Cerulean Blue,Local,1000,1850000 - 2689999
Cultus VXL,Karachi,2017,1 - 165000,Petrol,Manual,Beige,Local,1000,1850000 - 2689999
Cultus VXL,Karachi,2020,1 - 165000,Petrol,Manual,White,Local,1000,2690000 - 3529999
Cultus VXL,Karachi,2020,1 - 165000,Petrol,Manual,White,Local,1000,2690000 - 3529999
Cultus VXL,Karachi,2020,1 - 165000,Petrol,Manual,Silver,Local,1000,2690000 - 3529999
Cultus VXL,Lahore,2017,1 - 165000,Petrol,Manual,White,Local,1000,1850000 - 2689999
Cultus VXL,Lahore,2017,1 - 165000,Petrol,Manual,Blue,Local,1000,1850000 - 2689999
Cultus VXL,Lahore,2019,1 - 165000,Petrol,Manual,White,Local,1000,2690000 - 3529999
Cultus VXR,Islamabad,2020,1 - 165000,Petrol,Manual,White,Local,1000,1850000 - 2689999
Cultus VXR,Islamabad,2020,1 - 165000,Petrol,Manual,White,Local,1000,1850000 - 2689999
Cultus VXR,Karachi,2017,1 - 165000,Petrol,Manual,Graphite Grey,Local,1000,1850000 - 2689999
Cultus VXR,Karachi,2018,1 - 165000,Petrol,Manual,Gold,Local,1000,1850000 - 2689999
Cultus VXR,Karachi,2018,1 - 165000,Petrol,Manual,White,Local,1000,1850000 - 2689999
Cultus VXR,Karachi,2018,1 - 165000,Petrol,Manual,Silver,Local,1000,1850000 - 2689999
Cultus VXR,Karachi,2018,1 - 165000,Petrol,Manual,White,Local,1000,1850000 - 2689999
Cultus VXR,Karachi,2018,1 - 165000,Petrol,Manual,White,Local,1000,1850000 - 2689999
Cultus VXR,Karachi,2019,1 - 165000,Petrol,Manual,White,Local,1000,2690000 - 3529999
Cultus VXR,Karachi,2019,1 - 165000,Petrol,Manual,Graphite Grey,Local,1000,2690000 - 3529999
Cultus VXR,Karachi,2020,1 - 165000,Petrol,Manual,Silky Silver,Local,1000,2690000 - 3529999
Cultus VXR,Lahore,2017,1 - 165000,Petrol,Manual,Gold,Local,1000,1850000 - 2689999
Cultus VXR,Lahore,2018,1 - 165000,Petrol,Manual,White,Local,1000,1850000 - 2689999
Cultus VXR,Lahore,2018,1 - 165000,Petrol,Manual,Cerulean Blue,Local,1000,1850000 - 2689999
Cultus VXR,Lahore,2018,1 - 165000,Petrol,Manual,Cerulean Blue,Local,1000,1850000 - 2689999
Cultus VXR,Lahore,2018,1 - 165000,Petrol,Manual,Grey,Local,1000,1850000 - 2689999
Cultus VXR,Lahore,2019,1 - 165000,Petrol,Manual,White,Local,1000,2690000 - 3529999
Cultus VXR,Lahore,2019,1 - 165000,Petrol,Manual,Grey,Local,1000,1850000 - 2689999
Cultus VXRi,Lahore,2015,1 - 165000,Petrol,Manual,Grey,Local,1000,1010000 - 1849999
Cultus VXRi,Lahore,2016,1 - 165000,Petrol,Manual,White,Local,1000,1010000 - 1849999
Mehran,Lahore,2017,1 - 165000,Petrol,Manual,Grey,Imported,800,1010000 - 1849999
Mehran VX Euro II,Karachi,2013,1 - 165000,Petrol,Manual,Smoke Grey,Local,796,1700000 - 1009999
Mehran VX Euro II,Karachi,2014,1 - 165000,Petrol,Manual,Gold,Local,800,1700000 - 1009999
Mehran VX Euro II,Karachi,2016,1 - 165000,Petrol,Manual,Graphite Grey,Local,796,1700000 - 1009999
Mehran VX Euro II,Lahore,2014,1 - 165000,Petrol,Manual,Silver,Local,800,1700000 - 1009999
Mehran VX Euro II,Lahore,2015,1 - 165000,Petrol,Manual,Grey,Local,800,1700000 - 1009999
Mehran VX Euro II,Lahore,2017,1 - 165000,Petrol,Manual,Solid White,Local,796,1010000 - 1849999
Mehran VX Euro II,Lahore,2017,1 - 165000,Petrol,Manual,Solid White,Local,796,1010000 - 1849999
Mehran VX Euro II,Lahore,2019,1 - 165000,Petrol,Manual,Graphite Grey,Local,796,1010000 - 1849999
Mehran VXR Euro II,Islamabad,2013,1 - 165000,Petrol,Manual,Solid White,Local,796,1010000 - 1849999
Mehran VXR Euro II,Islamabad,2017,1 - 165000,Petrol,Manual,Silky Silver,Local,796,1010000 - 1849999
Mehran VXR Euro II,Islamabad,2018,1 - 165000,Petrol,Manual,White,Local,800,1010000 - 1849999
Mehran VXR Euro II,Islamabad,2018,495001 - 660000,Petrol,Manual,Solid White,Local,796,1010000 - 1849999
